MES;SEMANA;MES;DATE;RUNNING_HOURS
;;;01/01/2016;0
;;;02/01/2016;0
;;;03/01/2016;0
;;;04/01/2016;0
;;;05/01/2016;0
;;;06/01/2016;0
;;;07/01/2016;11
;;;08/01/2016;0
;;;09/01/2016;0
;;;10/01/2016;0
;;;11/01/2016;0
;;;12/01/2016;8
;;;13/01/2016;24
;;;14/01/2016;24
;;;15/01/2016;8
;;;16/01/2016;0
;;;17/01/2016;0
;;;18/01/2016;8
;;;19/01/2016;24
;;;20/01/2016;24
;;;21/01/2016;24
;;;22/01/2016;8
;;;23/01/2016;0
;;;24/01/2016;0
;;;25/01/2016;5
;;;26/01/2016;8
;;;27/01/2016;24
;;;28/01/2016;24
;;;29/01/2016;18
;;;30/01/2016;0
;;;31/01/2016;0
;;;01/02/2016;0
;;;02/02/2016;8
;;;03/02/2016;24
;;;04/02/2016;24
;;;05/02/2016;8
;;;06/02/2016;0
;;;07/02/2016;0
;;;08/02/2016;5
;;;09/02/2016;24
;;;10/02/2016;24
;;;11/02/2016;24
;;;12/02/2016;16
;;;13/02/2016;0
;;;14/02/2016;0
;;;15/02/2016;9
;;;16/02/2016;24
;;;17/02/2016;24
;;;18/02/2016;24
;;;19/02/2016;16
;;;20/02/2016;0
;;;21/02/2016;0
;;;22/02/2016;4
;;;23/02/2016;24
;;;24/02/2016;24
;;;25/02/2016;24
;;;26/02/2016;24
;;;27/02/2016;8
;;;28/02/2016;0
;;;29/02/2016;8
;;;01/03/2016;24
;;;02/03/2016;24
;;;03/03/2016;24
;;;04/03/2016;8
;;;05/03/2016;0
;;;06/03/2016;0
;;;07/03/2016;8
;;;08/03/2016;24
;;;09/03/2016;24
;;;10/03/2016;24
;;;11/03/2016;20
;;;12/03/2016;0
;;;13/03/2016;0
;;;14/03/2016;6
;;;15/03/2016;24
;;;16/03/2016;24
;;;17/03/2016;24
;;;18/03/2016;8
;;;19/03/2016;0
;;;20/03/2016;0
;;;21/03/2016;0
;;;22/03/2016;0
;;;23/03/2016;0
;;;24/03/2016;0
;;;25/03/2016;0
;;;26/03/2016;0
;;;27/03/2016;0
;;;28/03/2016;2
;;;29/03/2016;7
;;;30/03/2016;24
;;;31/03/2016;14
;;;01/04/2016;0
;;;02/04/2016;0
;;;03/04/2016;0
;;;04/04/2016;8
;;;05/04/2016;8
;;;06/04/2016;24
;;;07/04/2016;24
;;;08/04/2016;0
;;;09/04/2016;0
;;;10/04/2016;0
;;;11/04/2016;4
;;;12/04/2016;24
;;;13/04/2016;24
;;;14/04/2016;24
;;;15/04/2016;7
;;;16/04/2016;0
;;;17/04/2016;0
;;;18/04/2016;5
;;;19/04/2016;16
;;;20/04/2016;24
;;;21/04/2016;24
;;;22/04/2016;9
;;;23/04/2016;0
;;;24/04/2016;0
;;;25/04/2016;4
;;;26/04/2016;18
;;;27/04/2016;24
;;;28/04/2016;24
;;;29/04/2016;9
;;;30/04/2016;0
;;;01/05/2016;0
;;;02/05/2016;4
;;;03/05/2016;24
;;;04/05/2016;24
;;;05/05/2016;0
;;;06/05/2016;0
;;;07/05/2016;0
;;;08/05/2016;0
;;;09/05/2016;0
;;;10/05/2016;0
;;;11/05/2016;14
;;;12/05/2016;24
;;;13/05/2016;24
;;;14/05/2016;0
;;;15/05/2016;0
;;;16/05/2016;8
;;;17/05/2016;24
;;;18/05/2016;24
;;;19/05/2016;24
;;;20/05/2016;9
;;;21/05/2016;0
;;;22/05/2016;0
;;;23/05/2016;16
;;;24/05/2016;8
;;;25/05/2016;24
;;;26/05/2016;24
;;;27/05/2016;8
;;;28/05/2016;0
;;;29/05/2016;0
;;;30/05/2016;9
;;;31/05/2016;24
;;;01/06/2016;24
;;;02/06/2016;24
;;;03/06/2016;0
;;;04/06/2016;0
;;;05/06/2016;0
;;;06/06/2016;2
;;;07/06/2016;12
;;;08/06/2016;24
;;;09/06/2016;24
;;;10/06/2016;12
;;;11/06/2016;0
;;;12/06/2016;0
;;;13/06/2016;10
;;;14/06/2016;24
;;;15/06/2016;24
;;;16/06/2016;24
;;;17/06/2016;4
;;;18/06/2016;0
;;;19/06/2016;0
;;;20/06/2016;7
;;;21/06/2016;24
;;;22/06/2016;24
;;;23/06/2016;24
;;;24/06/2016;16
;;;25/06/2016;0
;;;26/06/2016;0
;;;27/06/2016;16
;;;28/06/2016;24
;;;29/06/2016;24
;;;30/06/2016;24
;;;01/07/2016;12
;;;02/07/2016;0
;;;03/07/2016;0
;;;04/07/2016;12
;;;05/07/2016;24
;;;06/07/2016;24
;;;07/07/2016;24
;;;08/07/2016;24
;;;09/07/2016;6
;;;10/07/2016;0
;;;11/07/2016;8
;;;12/07/2016;24
;;;13/07/2016;24
;;;14/07/2016;24
;;;15/07/2016;10
;;;16/07/2016;0
;;;17/07/2016;0
;;;18/07/2016;7
;;;19/07/2016;24
;;;20/07/2016;24
;;;21/07/2016;24
;;;22/07/2016;8
;;;23/07/2016;0
;;;24/07/2016;0
;;;25/07/2016;5
;;;26/07/2016;24
;;;27/07/2016;24
;;;28/07/2016;24
;;;29/07/2016;18
;;;30/07/2016;0
;;;31/07/2016;0
;;;01/08/2016;18
;;;02/08/2016;24
;;;03/08/2016;24
;;;04/08/2016;24
;;;05/08/2016;24
;;;06/08/2016;8
;;;07/08/2016;0
;;;08/08/2016;7
;;;09/08/2016;24
;;;10/08/2016;24
;;;11/08/2016;24
;;;12/08/2016;20
;;;13/08/2016;0
;;;14/08/2016;0
;;;15/08/2016;19
;;;16/08/2016;24
;;;17/08/2016;24
;;;18/08/2016;24
;;;19/08/2016;18
;;;20/08/2016;0
;;;21/08/2016;0
;;;22/08/2016;7
;;;23/08/2016;24
;;;24/08/2016;24
;;;25/08/2016;24
;;;26/08/2016;11
;;;27/08/2016;0
;;;28/08/2016;0
;;;29/08/2016;7
;;;30/08/2016;24
;;;31/08/2016;24
;;;01/09/2016;24
;;;02/09/2016;0
;;;03/09/2016;0
;;;04/09/2016;0
;;;05/09/2016;0
;;;06/09/2016;6
;;;07/09/2016;20
;;;08/09/2016;24
;;;09/09/2016;18
;;;10/09/2016;0
;;;11/09/2016;0
;;;12/09/2016;0
;;;13/09/2016;0
;;;14/09/2016;0
;;;15/09/2016;18
;;;16/09/2016;0
;;;17/09/2016;0
;;;18/09/2016;0
;;;19/09/2016;3
;;;20/09/2016;24
;;;21/09/2016;24
;;;22/09/2016;24
;;;23/09/2016;24
;;;24/09/2016;0
;;;25/09/2016;0
;;;26/09/2016;4
;;;27/09/2016;24
;;;28/09/2016;24
;;;29/09/2016;24
;;;30/09/2016;24
;;;01/10/2016;0
;;;02/10/2016;0
;;;03/10/2016;6
;;;04/10/2016;24
;;;05/10/2016;24
;;;06/10/2016;24
;;;07/10/2016;17
;;;08/10/2016;0
;;;09/10/2016;0
;;;10/10/2016;16
;;;11/10/2016;24
;;;12/10/2016;24
;;;13/10/2016;24
;;;14/10/2016;18
;;;15/10/2016;0
;;;16/10/2016;0
;;;17/10/2016;11
;;;18/10/2016;24
;;;19/10/2016;24
;;;20/10/2016;24
;;;21/10/2016;18
;;;22/10/2016;0
;;;23/10/2016;0
;;;24/10/2016;24
;;;25/10/2016;24
;;;26/10/2016;24
;;;27/10/2016;24
;;;28/10/2016;16
;;;29/10/2016;0
;;;30/10/2016;0
;;;31/10/2016;0
;;;01/11/2016;0
;;;02/11/2016;0
;;;03/11/2016;24
;;;04/11/2016;24
;;;05/11/2016;0
;;;06/11/2016;0
;;;07/11/2016;16
;;;08/11/2016;24
;;;09/11/2016;24
;;;10/11/2016;24
;;;11/11/2016;18
;;;12/11/2016;0
;;;13/11/2016;0
;;;14/11/2016;8
;;;15/11/2016;24
;;;16/11/2016;24
;;;17/11/2016;24
;;;18/11/2016;21
;;;19/11/2016;0
;;;20/11/2016;0
;;;21/11/2016;8
;;;22/11/2016;24
;;;23/11/2016;24
;;;24/11/2016;24
;;;25/11/2016;24
;;;26/11/2016;10
;;;27/11/2016;0
;;;28/11/2016;16
;;;29/11/2016;24
;;;30/11/2016;24
;;;01/12/2016;24
;;;02/12/2016;20
;;;03/12/2016;0
;;;04/12/2016;0
;;;05/12/2016;24
;;;06/12/2016;24
;;;07/12/2016;24
;;;08/12/2016;24
;;;09/12/2016;23
;;;10/12/2016;0
;;;11/12/2016;0
;;;12/12/2016;10
;;;13/12/2016;24
;;;14/12/2016;24
;;;15/12/2016;24
;;;16/12/2016;18
;;;17/12/2016;0
;;;18/12/2016;0
;;;19/12/2016;8
;;;20/12/2016;24
;;;21/12/2016;24
;;;22/12/2016;24
;;;23/12/2016;12
;;;24/12/2016;0
;;;25/12/2016;0
;;;26/12/2016;0
;;;27/12/2016;0
;;;28/12/2016;0
;;;29/12/2016;0
;;;30/12/2016;0
;;;31/12/2016;0
