MES;SEMANA;MES;DATE;RUNNING_HOURS
6;26;Junio 2020;24/06/2020;24
6;26;Junio 2020;25/06/2020;24
6;26;Junio 2020;26/06/2020;24
6;26;Junio 2020;27/06/2020;8
6;26;Junio 2020;28/06/2020;0
6;27;Junio 2020;29/06/2020;24
6;27;Junio 2020;30/06/2020;24
7;27;Julio 2020;01/07/2020;24
7;27;Julio 2020;02/07/2020;24
7;27;Julio 2020;03/07/2020;24
7;27;Julio 2020;04/07/2020;14
7;27;Julio 2020;05/07/2020;0
7;28;Julio 2020;06/07/2020;18
7;28;Julio 2020;07/07/2020;24
7;28;Julio 2020;08/07/2020;24
7;28;Julio 2020;09/07/2020;24
7;28;Julio 2020;10/07/2020;24
7;28;Julio 2020;11/07/2020;16
7;28;Julio 2020;12/07/2020;0
7;29;Julio 2020;13/07/2020;16
7;29;Julio 2020;14/07/2020;24
7;29;Julio 2020;15/07/2020;24
7;29;Julio 2020;16/07/2020;24
7;29;Julio 2020;17/07/2020;24
7;29;Julio 2020;18/07/2020;21
7;29;Julio 2020;19/07/2020;0
7;30;Julio 2020;20/07/2020;16
7;30;Julio 2020;21/07/2020;24
7;30;Julio 2020;22/07/2020;24
7;30;Julio 2020;23/07/2020;24
7;30;Julio 2020;24/07/2020;24
7;30;Julio 2020;25/07/2020;21
7;30;Julio 2020;26/07/2020;0
7;31;Julio 2020;27/07/2020;24
7;31;Julio 2020;28/07/2020;24
7;31;Julio 2020;29/07/2020;24
7;31;Julio 2020;30/07/2020;24
7;31;Julio 2020;31/07/2020;24
8;31;Agosto 2020;01/08/2020;21
8;31;Agosto 2020;02/08/2020;0
8;32;Agosto 2020;03/08/2020;16
8;32;Agosto 2020;04/08/2020;24
8;32;Agosto 2020;05/08/2020;24
8;32;Agosto 2020;06/08/2020;24
8;32;Agosto 2020;07/08/2020;24
8;32;Agosto 2020;08/08/2020;21
8;32;Agosto 2020;09/08/2020;8
8;33;Agosto 2020;10/08/2020;24
8;33;Agosto 2020;11/08/2020;24
8;33;Agosto 2020;12/08/2020;24
8;33;Agosto 2020;13/08/2020;24
8;33;Agosto 2020;14/08/2020;24
8;33;Agosto 2020;15/08/2020;21
8;33;Agosto 2020;16/08/2020;0
8;34;Agosto 2020;17/08/2020;10
8;34;Agosto 2020;18/08/2020;24
8;34;Agosto 2020;19/08/2020;21
8;34;Agosto 2020;20/08/2020;0
8;34;Agosto 2020;21/08/2020;0
8;34;Agosto 2020;22/08/2020;0
8;34;Agosto 2020;23/08/2020;0
8;35;Agosto 2020;24/08/2020;16
8;35;Agosto 2020;25/08/2020;24
8;35;Agosto 2020;26/08/2020;24
8;35;Agosto 2020;27/08/2020;24
8;35;Agosto 2020;28/08/2020;24
8;35;Agosto 2020;29/08/2020;0
8;35;Agosto 2020;30/08/2020;0
8;36;Agosto 2020;31/08/2020;16
9;36;Septiembre 2020;01/09/2020;24
9;36;Septiembre 2020;02/09/2020;24
9;36;Septiembre 2020;03/09/2020;24
9;36;Septiembre 2020;04/09/2020;24
9;36;Septiembre 2020;05/09/2020;21
9;36;Septiembre 2020;06/09/2020;0
9;37;Septiembre 2020;07/09/2020;16
9;37;Septiembre 2020;08/09/2020;24
9;37;Septiembre 2020;09/09/2020;24
9;37;Septiembre 2020;10/09/2020;24
9;37;Septiembre 2020;11/09/2020;24
9;37;Septiembre 2020;12/09/2020;21
9;37;Septiembre 2020;13/09/2020;0
9;38;Septiembre 2020;14/09/2020;0
9;38;Septiembre 2020;15/09/2020;16
9;38;Septiembre 2020;16/09/2020;0
9;38;Septiembre 2020;17/09/2020;18
9;38;Septiembre 2020;18/09/2020;24
9;38;Septiembre 2020;19/09/2020;21
9;38;Septiembre 2020;20/09/2020;0
9;39;Septiembre 2020;21/09/2020;16
9;39;Septiembre 2020;22/09/2020;24
9;39;Septiembre 2020;23/09/2020;24
9;39;Septiembre 2020;24/09/2020;24
9;39;Septiembre 2020;25/09/2020;24
9;39;Septiembre 2020;26/09/2020;21
9;39;Septiembre 2020;27/09/2020;0
9;40;Septiembre 2020;28/09/2020;16
9;40;Septiembre 2020;29/09/2020;24
9;40;Septiembre 2020;30/09/2020;24
10;40;Octubre 2020;01/10/2020;24
10;40;Octubre 2020;02/10/2020;24
10;40;Octubre 2020;03/10/2020;21
10;40;Octubre 2020;04/10/2020;0
10;41;Octubre 2020;05/10/2020;16
10;41;Octubre 2020;06/10/2020;24
10;41;Octubre 2020;07/10/2020;24
10;41;Octubre 2020;08/10/2020;24
10;41;Octubre 2020;09/10/2020;24
10;41;Octubre 2020;10/10/2020;21
10;41;Octubre 2020;11/10/2020;0
10;42;Octubre 2020;12/10/2020;16
10;42;Octubre 2020;13/10/2020;24
10;42;Octubre 2020;14/10/2020;24
10;42;Octubre 2020;15/10/2020;24
10;42;Octubre 2020;16/10/2020;24
10;42;Octubre 2020;17/10/2020;21
10;42;Octubre 2020;18/10/2020;0
10;43;Octubre 2020;19/10/2020;16
10;43;Octubre 2020;20/10/2020;24
