MES;SEMANA;MES;DATE;RUNNING_HOURS
1;1;Enero Yyyy;01/01/2019;0
1;1;Enero Yyyy;02/01/2019;24
1;1;Enero Yyyy;03/01/2019;24
1;1;Enero Yyyy;04/01/2019;24
1;1;Enero Yyyy;05/01/2019;24
1;1;Enero Yyyy;06/01/2019;0
1;2;Enero Yyyy;07/01/2019;24
1;2;Enero Yyyy;08/01/2019;24
1;2;Enero Yyyy;09/01/2019;24
1;2;Enero Yyyy;10/01/2019;24
1;2;Enero Yyyy;11/01/2019;24
1;2;Enero Yyyy;12/01/2019;24
1;2;Enero Yyyy;13/01/2019;0
1;3;Enero Yyyy;14/01/2019;24
1;3;Enero Yyyy;15/01/2019;24
1;3;Enero Yyyy;16/01/2019;24
1;3;Enero Yyyy;17/01/2019;24
1;3;Enero Yyyy;18/01/2019;24
1;3;Enero Yyyy;19/01/2019;24
1;3;Enero Yyyy;20/01/2019;6
1;4;Enero Yyyy;21/01/2019;24
1;4;Enero Yyyy;22/01/2019;24
1;4;Enero Yyyy;23/01/2019;24
1;4;Enero Yyyy;24/01/2019;24
1;4;Enero Yyyy;25/01/2019;24
1;4;Enero Yyyy;26/01/2019;24
1;4;Enero Yyyy;27/01/2019;8
1;5;Enero Yyyy;28/01/2019;24
1;5;Enero Yyyy;29/01/2019;24
1;5;Enero Yyyy;30/01/2019;24
1;5;Enero Yyyy;31/01/2019;24
2;5;Febrero Yyyy;01/02/2019;24
2;5;Febrero Yyyy;02/02/2019;21
2;5;Febrero Yyyy;03/02/2019;0
2;6;Febrero Yyyy;04/02/2019;0
2;6;Febrero Yyyy;05/02/2019;24
2;6;Febrero Yyyy;06/02/2019;24
2;6;Febrero Yyyy;07/02/2019;24
2;6;Febrero Yyyy;08/02/2019;24
2;6;Febrero Yyyy;09/02/2019;21
2;6;Febrero Yyyy;10/02/2019;0
2;7;Febrero Yyyy;11/02/2019;24
2;7;Febrero Yyyy;12/02/2019;24
2;7;Febrero Yyyy;13/02/2019;24
2;7;Febrero Yyyy;14/02/2019;24
2;7;Febrero Yyyy;15/02/2019;24
2;7;Febrero Yyyy;16/02/2019;24
2;7;Febrero Yyyy;17/02/2019;0
2;8;Febrero Yyyy;18/02/2019;24
2;8;Febrero Yyyy;19/02/2019;24
2;8;Febrero Yyyy;20/02/2019;24
2;8;Febrero Yyyy;21/02/2019;24
2;8;Febrero Yyyy;22/02/2019;24
2;8;Febrero Yyyy;23/02/2019;21
2;8;Febrero Yyyy;24/02/2019;0
2;9;Febrero Yyyy;25/02/2019;24
2;9;Febrero Yyyy;26/02/2019;24
2;9;Febrero Yyyy;27/02/2019;24
2;9;Febrero Yyyy;28/02/2019;24
3;9;Marzo Yyyy;01/03/2019;24
3;9;Marzo Yyyy;02/03/2019;21
3;9;Marzo Yyyy;03/03/2019;0
3;10;Marzo Yyyy;04/03/2019;24
3;10;Marzo Yyyy;05/03/2019;24
3;10;Marzo Yyyy;06/03/2019;24
3;10;Marzo Yyyy;07/03/2019;24
3;10;Marzo Yyyy;08/03/2019;24
3;10;Marzo Yyyy;09/03/2019;21
3;10;Marzo Yyyy;10/03/2019;6
3;11;Marzo Yyyy;11/03/2019;24
3;11;Marzo Yyyy;12/03/2019;24
3;11;Marzo Yyyy;13/03/2019;24
3;11;Marzo Yyyy;14/03/2019;24
3;11;Marzo Yyyy;15/03/2019;24
3;11;Marzo Yyyy;16/03/2019;21
3;11;Marzo Yyyy;17/03/2019;0
3;12;Marzo Yyyy;18/03/2019;0
3;12;Marzo Yyyy;19/03/2019;24
3;12;Marzo Yyyy;20/03/2019;24
3;12;Marzo Yyyy;21/03/2019;24
3;12;Marzo Yyyy;22/03/2019;24
3;12;Marzo Yyyy;23/03/2019;21
3;12;Marzo Yyyy;24/03/2019;0
3;13;Marzo Yyyy;25/03/2019;24
3;13;Marzo Yyyy;26/03/2019;24
3;13;Marzo Yyyy;27/03/2019;24
3;13;Marzo Yyyy;28/03/2019;24
3;13;Marzo Yyyy;29/03/2019;24
3;13;Marzo Yyyy;30/03/2019;21
3;13;Marzo Yyyy;31/03/2019;6
4;14;Abril Yyyy;01/04/2019;24
4;14;Abril Yyyy;02/04/2019;24
4;14;Abril Yyyy;03/04/2019;24
4;14;Abril Yyyy;04/04/2019;24
4;14;Abril Yyyy;05/04/2019;24
4;14;Abril Yyyy;06/04/2019;24
4;14;Abril Yyyy;07/04/2019;0
4;15;Abril Yyyy;08/04/2019;24
4;15;Abril Yyyy;09/04/2019;24
4;15;Abril Yyyy;10/04/2019;24
4;15;Abril Yyyy;11/04/2019;24
4;15;Abril Yyyy;12/04/2019;24
4;15;Abril Yyyy;13/04/2019;21
4;15;Abril Yyyy;14/04/2019;0
4;16;Abril Yyyy;15/04/2019;24
4;16;Abril Yyyy;16/04/2019;24
4;16;Abril Yyyy;17/04/2019;24
4;16;Abril Yyyy;18/04/2019;0
4;16;Abril Yyyy;19/04/2019;0
4;16;Abril Yyyy;20/04/2019;0
4;16;Abril Yyyy;21/04/2019;0
4;17;Abril Yyyy;22/04/2019;24
4;17;Abril Yyyy;23/04/2019;24
4;17;Abril Yyyy;24/04/2019;24
4;17;Abril Yyyy;25/04/2019;24
4;17;Abril Yyyy;26/04/2019;24
4;17;Abril Yyyy;27/04/2019;24
4;17;Abril Yyyy;28/04/2019;0
4;18;Abril Yyyy;29/04/2019;24
4;18;Abril Yyyy;30/04/2019;24
5;18;Mayo Yyyy;01/05/2019;0
5;18;Mayo Yyyy;02/05/2019;18
5;18;Mayo Yyyy;03/05/2019;24
5;18;Mayo Yyyy;04/05/2019;21
5;18;Mayo Yyyy;05/05/2019;0
5;19;Mayo Yyyy;06/05/2019;18
5;19;Mayo Yyyy;07/05/2019;24
5;19;Mayo Yyyy;08/05/2019;24
5;19;Mayo Yyyy;09/05/2019;24
5;19;Mayo Yyyy;10/05/2019;24
5;19;Mayo Yyyy;11/05/2019;14
5;19;Mayo Yyyy;12/05/2019;0
5;20;Mayo Yyyy;13/05/2019;24
5;20;Mayo Yyyy;14/05/2019;24
5;20;Mayo Yyyy;15/05/2019;24
5;20;Mayo Yyyy;16/05/2019;24
5;20;Mayo Yyyy;17/05/2019;24
5;20;Mayo Yyyy;18/05/2019;14
5;20;Mayo Yyyy;19/05/2019;0
5;21;Mayo Yyyy;20/05/2019;18
5;21;Mayo Yyyy;21/05/2019;24
5;21;Mayo Yyyy;22/05/2019;24
5;21;Mayo Yyyy;23/05/2019;24
5;21;Mayo Yyyy;24/05/2019;24
5;21;Mayo Yyyy;25/05/2019;15
5;21;Mayo Yyyy;26/05/2019;0
5;22;Mayo Yyyy;27/05/2019;12
5;22;Mayo Yyyy;28/05/2019;24
5;22;Mayo Yyyy;29/05/2019;24
5;22;Mayo Yyyy;30/05/2019;24
5;22;Mayo Yyyy;31/05/2019;24
6;22;Junio Yyyy;01/06/2019;24
6;22;Junio Yyyy;02/06/2019;6
6;23;Junio Yyyy;03/06/2019;24
6;23;Junio Yyyy;04/06/2019;24
6;23;Junio Yyyy;05/06/2019;24
6;23;Junio Yyyy;06/06/2019;24
6;23;Junio Yyyy;07/06/2019;24
6;23;Junio Yyyy;08/06/2019;24
6;23;Junio Yyyy;09/06/2019;17
6;24;Junio Yyyy;10/06/2019;24
6;24;Junio Yyyy;11/06/2019;24
6;24;Junio Yyyy;12/06/2019;24
6;24;Junio Yyyy;13/06/2019;24
6;24;Junio Yyyy;14/06/2019;24
6;24;Junio Yyyy;15/06/2019;24
6;24;Junio Yyyy;16/06/2019;6
6;25;Junio Yyyy;17/06/2019;16
6;25;Junio Yyyy;18/06/2019;24
6;25;Junio Yyyy;19/06/2019;24
6;25;Junio Yyyy;20/06/2019;24
6;25;Junio Yyyy;21/06/2019;24
6;25;Junio Yyyy;22/06/2019;22
6;25;Junio Yyyy;23/06/2019;9
6;26;Junio Yyyy;24/06/2019;24
6;26;Junio Yyyy;25/06/2019;24
