MES;SEMANA;MES;DATE;RUNNING_HOURS
1;1;enero 2018;01/01/2018;0
1;1;enero 2018;02/01/2018;0
1;1;enero 2018;03/01/2018;0
1;1;enero 2018;04/01/2018;10
1;1;enero 2018;05/01/2018;24
1;1;enero 2018;06/01/2018;0
1;1;enero 2018;07/01/2018;0
1;2;enero 2018;08/01/2018;12
1;2;enero 2018;09/01/2018;24
1;2;enero 2018;10/01/2018;24
1;2;enero 2018;11/01/2018;24
1;2;enero 2018;12/01/2018;24
1;2;enero 2018;13/01/2018;6
1;2;enero 2018;14/01/2018;0
1;3;enero 2018;15/01/2018;15
1;3;enero 2018;16/01/2018;24
1;3;enero 2018;17/01/2018;24
1;3;enero 2018;18/01/2018;24
1;3;enero 2018;19/01/2018;24
1;3;enero 2018;20/01/2018;24
1;3;enero 2018;21/01/2018;0
1;4;enero 2018;22/01/2018;6
1;4;enero 2018;23/01/2018;24
1;4;enero 2018;24/01/2018;24
1;4;enero 2018;25/01/2018;24
1;4;enero 2018;26/01/2018;24
1;4;enero 2018;27/01/2018;21
1;4;enero 2018;28/01/2018;6
1;5;enero 2018;29/01/2018;24
1;5;enero 2018;30/01/2018;24
1;5;enero 2018;31/01/2018;24
2;5;febrero 2018;01/02/2018;24
2;5;febrero 2018;02/02/2018;24
2;5;febrero 2018;03/02/2018;21
2;5;febrero 2018;04/02/2018;0
2;6;febrero 2018;05/02/2018;0
2;6;febrero 2018;06/02/2018;14
2;6;febrero 2018;07/02/2018;24
2;6;febrero 2018;08/02/2018;24
2;6;febrero 2018;09/02/2018;24
2;6;febrero 2018;10/02/2018;24
2;6;febrero 2018;11/02/2018;0
2;7;febrero 2018;12/02/2018;14
2;7;febrero 2018;13/02/2018;24
2;7;febrero 2018;14/02/2018;24
2;7;febrero 2018;15/02/2018;24
2;7;febrero 2018;16/02/2018;24
2;7;febrero 2018;17/02/2018;24
2;7;febrero 2018;18/02/2018;0
2;8;febrero 2018;19/02/2018;15
2;8;febrero 2018;20/02/2018;24
2;8;febrero 2018;21/02/2018;24
2;8;febrero 2018;22/02/2018;24
2;8;febrero 2018;23/02/2018;24
2;8;febrero 2018;24/02/2018;24
2;8;febrero 2018;25/02/2018;8
2;9;febrero 2018;26/02/2018;24
2;9;febrero 2018;27/02/2018;24
2;9;febrero 2018;28/02/2018;24
3;9;marzo 2018;01/03/2018;24
3;9;marzo 2018;02/03/2018;24
3;9;marzo 2018;03/03/2018;24
3;9;marzo 2018;04/03/2018;0
3;10;marzo 2018;05/03/2018;24
3;10;marzo 2018;06/03/2018;24
3;10;marzo 2018;07/03/2018;24
3;10;marzo 2018;08/03/2018;24
3;10;marzo 2018;09/03/2018;24
3;10;marzo 2018;10/03/2018;24
3;10;marzo 2018;11/03/2018;8
3;11;marzo 2018;12/03/2018;24
3;11;marzo 2018;13/03/2018;24
3;11;marzo 2018;14/03/2018;24
3;11;marzo 2018;15/03/2018;24
3;11;marzo 2018;16/03/2018;24
3;11;marzo 2018;17/03/2018;24
3;11;marzo 2018;18/03/2018;8
3;12;marzo 2018;19/03/2018;0
3;12;marzo 2018;20/03/2018;24
3;12;marzo 2018;21/03/2018;24
3;12;marzo 2018;22/03/2018;24
3;12;marzo 2018;23/03/2018;24
3;12;marzo 2018;24/03/2018;24
3;12;marzo 2018;25/03/2018;0
3;13;marzo 2018;26/03/2018;24
3;13;marzo 2018;27/03/2018;24
3;13;marzo 2018;28/03/2018;24
3;13;marzo 2018;29/03/2018;0
3;13;marzo 2018;30/03/2018;0
3;13;marzo 2018;31/03/2018;0
